iter	Logloss
0	0.668083179
5	0.5742835581
10	0.5170900348
15	0.4815701528
20	0.4589202356
25	0.4441458593
30	0.434293935
35	0.4277004666
40	0.4230853396
45	0.4198967541
50	0.4176298568
55	0.4160087478
60	0.4148126402
65	0.4138758604
70	0.4132647447
75	0.4128213085
80	0.4124942594
85	0.4121693595
90	0.4117464594
95	0.4114655926
100	0.4112870242
105	0.4110872033
110	0.4109958893
115	0.4107969281
120	0.4104219774
125	0.4101851916
130	0.4100845647
135	0.4098550382
140	0.4097258996
145	0.4095625661
150	0.4093782667
155	0.4092093932
160	0.4091260071
165	0.408833344
170	0.4087644765
175	0.408661605
180	0.4085914958
185	0.4085607394
190	0.408496409
195	0.4084317442
200	0.408151546
205	0.4079864454
210	0.407871109
215	0.4077783146
220	0.4077746372
225	0.4076128319
230	0.4075392363
235	0.4074834068
240	0.4074622977
245	0.4073648706
250	0.4073101396
255	0.4072748939
260	0.4072095605
265	0.4071740761
270	0.4071532057
275	0.4070691033
280	0.4069821831
285	0.406870142
290	0.406758292
295	0.4067338397
300	0.4067159303
305	0.4066102889
310	0.4065404185
315	0.4064954779
320	0.4063985284
325	0.4063447048
330	0.4062755507
335	0.406148609
340	0.4060838487
345	0.4060335592
350	0.4059241449
355	0.4059056146
360	0.4057894186
365	0.4057631515
370	0.4056323414
375	0.4056318161
380	0.405631434
385	0.4056005821
390	0.4054463227
395	0.4053530506
400	0.4052097279
405	0.4051955437
410	0.405108528
415	0.4050482569
420	0.4049294819
425	0.4049177812
430	0.4048768045
435	0.4048056923
440	0.4046912634
445	0.4045747808
450	0.4044884337
455	0.4044466929
460	0.4043592474
465	0.4042485436
470	0.4041328251
475	0.4040180141
480	0.4040161515
485	0.4040059312
490	0.4039507226
495	0.4039205393
500	0.4038100265
505	0.4038063013
510	0.4036594922
515	0.4035392367
520	0.4034537493
525	0.4033815864
530	0.4033272852
535	0.4032657725
540	0.4032183007
545	0.4031950901
550	0.4031648114
555	0.4031084565
560	0.4030159009
565	0.4030106474
570	0.4029005645
575	0.402842156
580	0.4027975975
585	0.4026693186
590	0.402644341
595	0.402570029
600	0.4024215006
605	0.402318247
610	0.4023177695
615	0.4021864818
620	0.4020551464
625	0.4020442575
630	0.4019868519
635	0.4019541852
640	0.4018985468
645	0.4017814433
650	0.4017813478
655	0.4017810135
660	0.4017791987
665	0.4017786256
670	0.4017770018
675	0.4017606207
680	0.4017471051
685	0.4016108983
690	0.4016105162
695	0.4015556897
700	0.401554639
705	0.4014782734
710	0.4014388728
715	0.4014225872
720	0.4014196739
725	0.4013871027
730	0.4011729066
735	0.4011486931
740	0.4011485498
745	0.4010883266
750	0.4010881833
755	0.4010829776
760	0.4010829299
765	0.4010117222
770	0.4010100506
775	0.4008521616
780	0.4007817658
785	0.4007365864
790	0.4007213037
791	0.400721256
