iter	Passed	Remaining
0	59	53445
1	145	64791
2	243	72134
3	322	71515
4	400	71105
5	456	67357
6	503	63651
7	553	61187
8	621	60993
9	740	65335
10	845	67690
11	961	70521
12	1074	72619
13	1233	77386
14	1305	76355
15	1403	76847
16	1529	78714
17	1598	77639
18	1663	76441
19	1722	75106
20	1808	75010
21	1885	74579
22	2079	78564
23	2215	80120
24	2315	80299
25	2387	79529
26	2468	79089
27	2561	79030
28	2687	79983
29	2755	79180
30	2861	79478
31	2961	79601
32	3048	79364
33	3098	78179
34	3210	78615
35	3269	77742
36	3374	77988
37	3507	78819
38	3622	79236
39	3698	78779
40	3811	79112
41	3931	79566
42	4018	79350
43	4121	79433
44	4250	80001
45	4323	79506
46	4424	79548
47	4500	79141
48	4614	79388
49	4670	78655
50	4724	77905
51	4810	77704
52	4880	77259
53	4961	77001
54	5052	76894
55	5149	76869
56	5234	76687
57	5337	76751
58	5411	76407
59	5472	75887
60	5526	75287
61	5596	74919
62	5640	74225
63	5698	73721
64	5750	73160
65	5822	72864
66	5919	72889
67	5982	72488
68	6056	72236
69	6127	71955
70	6185	71525
71	6278	71500
72	6438	72235
73	6536	72259
74	6618	72095
75	6702	71959
76	6801	71987
77	6923	72257
78	7049	72544
79	7144	72516
80	7226	72352
81	7287	71985
82	7431	72433
83	7515	72288
84	7617	72325
85	7693	72103
86	7765	71850
87	7849	71715
88	7931	71562
89	7996	71259
90	8041	70784
91	8121	70620
92	8181	70290
93	8228	69857
94	8294	69584
95	8352	69253
96	8412	68948
97	8459	68542
98	8524	68284
99	8596	68084
100	8660	67830
101	8700	67389
102	8773	67209
103	8843	67007
104	8924	66892
105	8969	66511
106	9012	66116
107	9061	65780
108	9115	65477
109	9174	65225
110	9220	64874
111	9287	64677
112	9356	64501
113	9411	64231
114	9469	63981
115	9512	63638
116	9585	63490
117	9656	63337
118	9705	63045
119	9752	62742
120	9789	62379
121	9858	62223
122	9902	61910
123	9952	61643
124	9986	61274
125	10041	61048
126	10140	61081
127	10248	61169
128	10315	61015
129	10368	60777
130	10453	60725
131	10511	60519
132	10598	60480
133	10655	60277
134	10703	60019
135	10826	60182
136	10872	59919
137	10939	59771
138	11116	60221
139	11207	60201
140	11279	60079
141	11356	59984
142	11404	59734
143	11476	59613
144	11527	59384
145	11580	59170
146	11681	59203
147	11769	59167
148	11860	59142
149	11916	58946
150	12036	59065
151	12122	59016
152	12213	58992
153	12288	58888
154	12381	58870
155	12464	58808
156	12612	59047
157	12732	59149
158	12837	59181
159	12912	59074
160	13031	59170
161	13116	59105
162	13210	59083
163	13304	59061
164	13406	59069
165	13512	59098
166	13638	59208
167	13737	59201
168	13793	59009
169	13864	58881
170	13936	58759
171	14022	58700
172	14102	58611
173	14234	58736
174	14421	59086
175	14485	58931
176	14571	58861
177	14631	58689
178	14722	58644
179	14773	58437
180	14850	58335
181	14902	58136
182	15014	58169
183	15055	57931
184	15100	57708
185	15154	57520
186	15222	57387
187	15282	57227
188	15331	57026
189	15416	56959
190	15468	56773
191	15518	56578
192	15579	56425
193	15614	56180
194	15706	56139
195	15770	55999
196	15851	55921
197	15923	55811
198	15978	55642
199	16060	55570
200	16129	55451
201	16200	55339
202	16258	55181
203	16315	55026
204	16382	54900
205	16432	54720
206	16484	54548
207	16528	54352
208	16615	54299
209	16709	54267
210	16815	54270
211	16923	54283
212	17072	54422
213	17133	54282
214	17257	54340
215	17341	54273
216	17467	54335
217	17581	54358
218	17633	54189
219	17713	54106
220	17792	54022
221	17888	53986
222	17987	53962
223	18107	53998
224	18229	54040
225	18361	54110
226	18457	54070
227	18592	54146
228	18682	54089
229	18775	54040
230	18867	53989
231	18974	53977
232	19082	53970
233	19176	53924
234	19240	53790
235	19324	53715
236	19393	53598
237	19474	53513
238	19558	53438
239	19601	53249
240	19659	53104
241	19725	52981
242	19791	52858
243	19874	52782
244	19972	52744
245	20083	52740
246	20209	52773
247	20324	52776
248	20418	52727
249	20544	52758
250	20630	52685
251	20731	52651
252	20835	52624
253	20967	52665
254	21062	52614
255	21118	52465
256	21178	52329
257	21247	52213
258	21338	52152
259	21397	52012
260	21511	52006
261	21606	51953
262	21720	51946
263	21815	51894
264	21903	51823
265	21994	51760
266	22052	51622
267	22167	51614
268	22271	51580
269	22350	51489
270	22411	51355
271	22453	51180
272	22513	51047
273	22565	50894
274	22627	50768
275	22669	50594
276	22694	50386
277	22753	50254
278	22812	50123
279	22899	50051
280	22935	49869
281	22998	49748
282	23034	49568
283	23081	49413
284	23128	49259
285	23178	49113
286	23219	48947
287	23275	48813
288	23342	48703
289	23404	48584
290	23459	48451
291	23523	48336
292	23570	48186
293	23612	48027
294	23643	47848
295	23702	47724
296	23733	47546
297	23776	47393
298	23839	47280
299	23904	47171
300	23999	47122
301	24084	47053
302	24151	46947
303	24206	46820
304	24265	46701
305	24350	46632
306	24401	46497
307	24481	46419
308	24530	46282
309	24569	46127
310	24634	46022
311	24684	45887
312	24768	45818
313	24874	45787
314	25008	45808
315	25087	45728
316	25161	45639
317	25233	45546
318	25298	45442
319	25366	45343
320	25419	45217
321	25500	45141
322	25588	45076
323	25682	45023
324	25736	44900
325	25786	44770
326	25864	44688
327	25909	44552
328	25972	44444
329	26029	44329
330	26084	44209
331	26146	44101
332	26211	44001
333	26280	43905
334	26394	43886
335	26497	43847
336	26629	43855
337	26717	43792
338	26762	43656
339	26824	43550
340	26877	43429
341	26954	43347
342	27004	43222
343	27066	43117
344	27111	42984
345	27187	42903
346	27260	42815
347	27306	42685
348	27346	42547
349	27391	42417
350	27449	42307
351	27500	42187
352	27546	42060
353	27591	41932
354	27638	41808
355	27680	41676
356	27729	41555
357	27765	41414
358	27817	41300
359	27875	41194
360	27922	41072
361	27950	40921
362	27987	40786
363	28025	40651
364	28071	40531
365	28106	40392
366	28146	40263
367	28196	40150
368	28248	40037
369	28294	39918
370	28352	39816
371	28394	39691
372	28425	39551
373	28464	39424
374	28499	39290
375	28538	39164
376	28588	39052
377	28639	38943
378	28714	38867
379	28803	38809
380	28901	38762
381	28999	38717
382	29107	38683
383	29216	38651
384	29332	38628
385	29427	38575
386	29504	38500
387	29594	38442
388	29662	38354
389	29744	38286
390	29800	38184
391	29866	38095
392	29972	38056
393	30040	37970
394	30121	37899
395	30190	37814
396	30251	37719
397	30385	37714
398	30466	37644
399	30545	37570
400	30634	37510
401	30723	37449
402	30850	37433
403	30954	37390
404	31040	37325
405	31150	37288
406	31224	37208
407	31246	37067
408	31338	37008
409	31399	36913
410	31506	36872
411	31615	36833
412	31729	36799
413	31857	36782
414	31919	36688
415	32007	36624
416	32117	36584
417	32178	36489
418	32229	36383
419	32282	36279
420	32341	36182
421	32409	36096
422	32462	35992
423	32516	35890
424	32578	35797
425	32655	35722
426	32720	35632
427	32786	35544
428	32864	35468
429	32973	35427
430	33023	35321
431	33074	35217
432	33115	35103
433	33178	35013
434	33221	34901
435	33281	34808
436	33327	34700
437	33358	34577
438	33415	34481
439	33486	34399
440	33521	34281
441	33572	34179
442	33609	34064
443	33639	33942
444	33679	33831
445	33722	33722
446	33776	33625
447	33817	33515
448	33873	33420
449	33924	33321
450	33975	33222
451	34028	33125
452	34090	33037
453	34135	32932
454	34190	32837
455	34273	32770
456	34373	32718
457	34474	32668
458	34518	32563
459	34655	32545
460	34756	32495
461	34821	32409
462	34948	32381
463	35117	32392
464	35196	32320
465	35274	32246
466	35381	32199
467	35491	32154
468	35589	32098
469	35680	32036
470	35736	31942
471	35892	31938
472	36013	31901
473	36095	31831
474	36276	31847
475	36380	31794
476	36474	31733
477	36590	31690
478	36701	31644
479	36800	31587
480	36911	31539
481	37005	31478
482	37150	31458
483	37285	31430
484	37415	31398
485	37518	31342
486	37655	31315
487	37777	31274
488	37975	31296
489	38050	31216
490	38173	31175
491	38294	31133
492	38368	31052
493	38476	30998
494	38611	30967
495	38722	30915
496	38786	30825
497	38885	30764
498	38936	30665
499	39004	30579
500	39079	30499
501	39154	30418
502	39247	30352
503	39372	30310
504	39486	30259
505	39604	30211
506	39736	30174
507	39893	30155
508	39985	30087
509	40096	30032
510	40155	29939
511	40281	29896
512	40410	29855
513	40473	29764
514	40598	29719
515	40727	29677
516	40798	29592
517	40934	29555
518	41084	29526
519	41215	29485
520	41293	29404
521	41396	29342
522	41480	29266
523	41595	29212
524	41659	29121
525	41723	29031
526	41817	28963
527	41908	28891
528	42025	28837
529	42112	28763
530	42172	28671
531	42278	28609
532	42369	28537
533	42444	28455
534	42556	28397
535	42695	28357
536	42889	28353
537	43011	28301
538	43081	28214
539	43146	28125
540	43263	28069
541	43360	28000
542	43477	27943
543	43588	27883
544	43665	27801
545	43816	27766
546	43891	27683
547	43987	27612
548	44081	27540
549	44192	27479
550	44288	27408
551	44395	27344
552	44509	27285
553	44613	27218
554	44806	27206
555	44928	27150
556	45022	27077
557	45068	26976
558	45137	26888
559	45189	26790
560	45243	26694
561	45297	26597
562	45362	26508
563	45403	26404
564	45453	26306
565	45496	26204
566	45549	26108
567	45589	26005
568	45624	25899
569	45677	25803
570	45741	25714
571	45783	25613
572	45832	25515
573	45908	25433
574	45939	25326
575	46009	25241
576	46065	25148
577	46130	25060
578	46214	24982
579	46241	24874
580	46308	24788
581	46362	24694
582	46448	24618
583	46508	24528
584	46628	24470
585	46695	24383
586	46734	24283
587	46770	24180
588	46808	24079
589	46863	23987
590	46920	23896
591	46986	23810
592	47029	23712
593	47080	23619
594	47129	23525
595	47208	23445
596	47301	23373
597	47381	23294
598	47472	23221
599	47565	23148
600	47664	23078
601	47737	22996
602	47802	22910
603	47861	22821
604	47957	22750
605	48028	22666
606	48097	22582
607	48187	22508
608	48271	22431
609	48328	22342
610	48438	22276
611	48518	22198
612	48590	22115
613	48698	22049
614	48773	21968
615	48843	21884
616	48897	21793
617	48956	21705
618	49022	21620
619	49169	21571
620	49266	21499
621	49335	21415
622	49420	21338
623	49538	21276
624	49622	21198
625	49738	21134
626	49864	21075
627	49960	21002
628	50082	20940
629	50175	20866
630	50264	20790
631	50337	20708
632	50423	20631
633	50499	20550
634	50588	20474
635	50634	20381
636	50728	20307
637	50821	20233
638	50893	20150
639	50973	20070
640	51043	19987
641	51090	19894
642	51156	19810
643	51236	19730
644	51351	19664
645	51412	19578
646	51454	19484
647	51505	19393
648	51573	19310
649	51615	19216
650	51659	19124
651	51706	19032
652	51762	18945
653	51862	18873
654	51951	18797
655	52021	18715
656	52110	18639
